question_id,country_code,dimension,answer_shape,swarm_answer,odmi_response,match_status,terminal_status,retry_count,primary_mode,contributing_factor,addressed_by,classification_confidence,evidence_note,runner_up_mode
P26-b,FR,Policy,binary,inconclusive,yes,differ,accepted_by_adjudicator,3,adjudication_propagation_loss,verifier_substring_gate_collapse,Pipeline fix: write adjudicator_answer to final_answer on verifier_correct / researcher_correct (run_coordinator.py:973-990). Immediate free wins; no lever needed.,high,"P26-b: adjudicator verdict=verifier_correct, adjudicator_answer='yes'; final='inconclusive'. Researcher rt0,rt1='yes'. ODMI is a long FR self-report (data-literacy/DINUM). Zero score weight. 3/3 substring fail, 403.",zero_weight_descriptive
P6,FR,Policy,binary,no,yes,differ,accepted_by_verifier,0,selection_or_interpretation_miss,,Coverage/commit fix: enforce a minimum-retry floor (many are rt0 give-ups) and improve source selection. Lever A (diverge queries on rejection) is partially relevant; C is not.,medium,P6: swarm 'no' at rt0. ODMI 'yes' reads the open-to-all roadmap (citizens/journalists can publish) as the incentive measure. Roadmap is public; swarm read 'incentive measures' narrowly. Defensible interpretation gap.,ground_truth_contested
PT10,EE,Portal,binary,inconclusive,yes,differ,accepted_by_verifier,2,verifier_substring_gate_collapse,fetch_blocked_403,"Fix the Verifier's verbatim substring gate: verify against actually-fetched page text, or allow semantic/normalised match, instead of rejecting quotes that cannot be re-matched on un-fetched or 403'd pages. NEITHER lever A nor C addresses this.",high,"PT10 EE: researcher rt1='yes' having found portal source code (dataset-rating.entity.ts, metadataRating); verifier rejected on substring/relevance, reverted. ODMI confirms rating when logged in (public). Correct answer found and destroyed.",selection_or_interpretation_miss
PT11,EE,Portal,binary,inconclusive,yes,differ,accepted_by_verifier,1,verifier_substring_gate_collapse,fetch_blocked_403,"Fix the Verifier's verbatim substring gate: verify against actually-fetched page text, or allow semantic/normalised match, instead of rejecting quotes that cannot be re-matched on un-fetched or 403'd pages. NEITHER lever A nor C addresses this.",high,"PT11 EE: researcher rt0='yes' then inconclusive; 1/2 substring fail, 403. ODMI: discussions + news sections at avaandmed.eesti.ee (public URLs).",evidence_absent_or_self_report
PT12,EE,Portal,binary,inconclusive,yes,differ,accepted_by_verifier,1,verifier_substring_gate_collapse,evidence_absent_or_self_report,"Fix the Verifier's verbatim substring gate: verify against actually-fetched page text, or allow semantic/normalised match, instead of rejecting quotes that cannot be re-matched on un-fetched or 403'd pages. NEITHER lever A nor C addresses this.",high,PT12 EE: researcher rt0='yes' then inconclusive; 1/2 substring fail. ODMI: RSS feed + logged-in notifications (public portal feature).,selection_or_interpretation_miss
PT14,FR,Portal,binary,inconclusive,yes,differ,accepted_by_adjudicator,3,adjudication_propagation_loss,verifier_substring_gate_collapse,Pipeline fix: write adjudicator_answer to final_answer on verifier_correct / researcher_correct (run_coordinator.py:973-990). Immediate free wins; no lever needed.,high,"PT14: adjudicator verdict=researcher_correct, adjudicator_answer='yes'; final='inconclusive'. Researcher rt0-2='yes' then rt3='inconclusive'; coordinator took researcher_outputs[-1] (the inconclusive), not the adjudged 'yes'. ODMI: requests tracked on forum.data.gouv.fr (public).",inconclusive_collapse
PT24,FR,Portal,binary,inconclusive,yes,differ,escalated_adjudicator,3,evidence_absent_or_self_report,,Out of reach for web search: gold answer is a country self-report / internal practice / catalogue computation. Route catalogue-derivable percentages to the D30 tool; otherwise human escalation or accept 'inconclusive' as the honest answer and stop scoring it as a swarm error. Neither lever A nor C touches this.,high,"PT24 FR: inconclusive rt3. ODMI self-report ('we run analytics on API usage... Matomo'). Internal monitoring practice, not externally verifiable.",
PT28,FR,Portal,binary,inconclusive,yes,differ,escalated_adjudicator,3,evidence_absent_or_self_report,verifier_substring_gate_collapse,Out of reach for web search: gold answer is a country self-report / internal practice / catalogue computation. Route catalogue-derivable percentages to the D30 tool; otherwise human escalation or accept 'inconclusive' as the honest answer and stop scoring it as a swarm error. Neither lever A nor C touches this.,high,"PT28 FR: inconclusive rt3, 3/4 substring fail. ODMI self-report ('we monitor search keywords... UX research'). Internal practice.",
PT33,FR,Portal,binary,inconclusive,"yes, or all public sector data providers already publish data",differ,accepted_by_verifier,2,evidence_absent_or_self_report,verifier_substring_gate_collapse,Out of reach for web search: gold answer is a country self-report / internal practice / catalogue computation. Route catalogue-derivable percentages to the D30 tool; otherwise human escalation or accept 'inconclusive' as the honest answer and stop scoring it as a swarm error. Neither lever A nor C touches this.,high,"PT33 FR: inconclusive rt2, 2/3 substring fail, ODMI explanation N/A. Internal-process question (identify non-publishing providers). No public artefact.",
PT37,FR,Portal,ordinal_magnitude,yes,all datasets,differ,accepted_by_verifier,0,format_failure,selection_or_interpretation_miss,Lever C directly (constrain output to the allowed answer set). Plus schema-retry hardening for the no_swarm_answer set.,high,PT37: ordinal_magnitude question; swarm emitted 'yes' (not in allowed set). Substantively the evidence found (nightly harvesting of all local portals) supports ODMI's 'all datasets'. Pure shape error.,
PT4,FR,Portal,binary,no,yes,differ,accepted_by_verifier,0,ground_truth_contested,,Human glance: likely swarm win against a stale or loose ODMI self-report. No automated fix; flag for the disagreement-review log.,high,"PT4: swarm 'no' (conf 0.92), quoting data.gouv.fr's own guide that it has NO SPARQL endpoint and redirects to data.europa.eu. Live check 2026-06-02 confirmed verbatim. ODMI 'yes' cites a generic REST API reference, not SPARQL. Swarm is likely correct.",selection_or_interpretation_miss
PT41,FR,Portal,binary,inconclusive,yes,differ,escalated_adjudicator,3,verifier_substring_gate_collapse,evidence_absent_or_self_report,"Fix the Verifier's verbatim substring gate: verify against actually-fetched page text, or allow semantic/normalised match, instead of rejecting quotes that cannot be re-matched on un-fetched or 403'd pages. NEITHER lever A nor C addresses this.",high,"PT41: researcher rt1='yes' then inconclusive; 3/3 substring fail. ODMI: portal sustainability strategy, mission defined by law (public).",inconclusive_collapse
PT44,FR,Portal,binary,inconclusive,yes,differ,accepted_by_verifier,1,inconclusive_collapse,evidence_absent_or_self_report,Commit-policy / confidence-threshold fix so a found answer is not abandoned. Lever A may help; the substring gate is not the cause here.,medium,PT44: researcher rt0='yes' then rt1='inconclusive' with no substring failure recorded; caved on its own. ODMI self-report (monitors data characteristics over time).,verifier_substring_gate_collapse
Q1,EE,Quality,binary,inconclusive,yes,differ,accepted_by_adjudicator,3,selection_or_interpretation_miss,fetch_blocked_403,Coverage/commit fix: enforce a minimum-retry floor (many are rt0 give-ups) and improve source selection. Lever A (diverge queries on rejection) is partially relevant; C is not.,low,"Q1 EE: inconclusive rt3, 4/4 substring fail, no answer ever found. ODMI cites Public Information Act (riigiteataja law URL). Public law reachable in principle but EE 403s blocked it.",evidence_absent_or_self_report
Q10,EE,Quality,binary,inconclusive,yes,differ,accepted_by_verifier,1,evidence_absent_or_self_report,fetch_blocked_403,Out of reach for web search: gold answer is a country self-report / internal practice / catalogue computation. Route catalogue-derivable percentages to the D30 tool; otherwise human escalation or accept 'inconclusive' as the honest answer and stop scoring it as a swarm error. Neither lever A nor C touches this.,high,"Q10 EE: inconclusive, 403, 2/2 substring fail. ODMI self-report (national data description standard, DCAT-AP minimum metadata).",
Q12,EE,Quality,percentage_band,inconclusive,>90%,differ,accepted_by_verifier,1,evidence_absent_or_self_report,fetch_blocked_403,Out of reach for web search: gold answer is a country self-report / internal practice / catalogue computation. Route catalogue-derivable percentages to the D30 tool; otherwise human escalation or accept 'inconclusive' as the honest answer and stop scoring it as a swarm error. Neither lever A nor C touches this.,high,Q12 EE: percentage_band (catalogue-derivable set). ODMI '>90%' with N/A explanation - a self-report needing catalogue computation. 403 blocked the EE catalogue. Swarm cannot get this from web search.,ground_truth_contested
Q1,FR,Quality,binary,inconclusive,yes,differ,escalated_adjudicator,3,evidence_absent_or_self_report,verifier_substring_gate_collapse,Out of reach for web search: gold answer is a country self-report / internal practice / catalogue computation. Route catalogue-derivable percentages to the D30 tool; otherwise human escalation or accept 'inconclusive' as the honest answer and stop scoring it as a swarm error. Neither lever A nor C touches this.,medium,"Q1 FR: inconclusive rt3, 2/2 substring fail, escalated. ODMI short self-report ('we automatically update metadata via APIs/harvesting'). Internal practice.",
Q10,FR,Quality,binary,,yes,no_swarm_answer,agent_failure,3,format_failure,,Lever C directly (constrain output to the allowed answer set). Plus schema-retry hardening for the no_swarm_answer set.,high,"terminal_status=agent_failure, final_failure_reason=schema_invalid after 3 retries. Researcher never emitted a schema-valid answer; ODMI='yes'.",
Q11,FR,Quality,binary,inconclusive,yes,differ,accepted_by_verifier,0,selection_or_interpretation_miss,,Coverage/commit fix: enforce a minimum-retry floor (many are rt0 give-ups) and improve source selection. Lever A (diverge queries on rejection) is partially relevant; C is not.,medium,"Q11 FR: inconclusive rt0. ODMI: licence recommendation LOV2/ODbL, public bodies must choose (policy/legifrance, public). Not surfaced.",evidence_absent_or_self_report
Q12,FR,Quality,percentage_band,inconclusive,>90%,differ,accepted_by_verifier,0,evidence_absent_or_self_report,ground_truth_contested,Out of reach for web search: gold answer is a country self-report / internal practice / catalogue computation. Route catalogue-derivable percentages to the D30 tool; otherwise human escalation or accept 'inconclusive' as the honest answer and stop scoring it as a swarm error. Neither lever A nor C touches this.,high,"Q12 FR: percentage_band (catalogue-derivable). ODMI '>90%' (N/A explanation, self-report). Researcher correctly notes no web statistic exists. D30 independent recompute read FR licence coverage ~38%, so ODMI's >90% is contested. Inconclusive is the honest web answer.",
Q17,FR,Quality,percentage_band,inconclusive,>90%,differ,accepted_by_verifier,0,evidence_absent_or_self_report,ground_truth_contested,Out of reach for web search: gold answer is a country self-report / internal practice / catalogue computation. Route catalogue-derivable percentages to the D30 tool; otherwise human escalation or accept 'inconclusive' as the honest answer and stop scoring it as a swarm error. Neither lever A nor C touches this.,high,Q17 FR: percentage_band (catalogue-derivable). ODMI '>90%' self-report. D30 recompute much lower. Not answerable from open web; ODMI contested.,
Q18,FR,Quality,percentage_band,inconclusive,>90%,differ,accepted_by_verifier,0,evidence_absent_or_self_report,ground_truth_contested,Out of reach for web search: gold answer is a country self-report / internal practice / catalogue computation. Route catalogue-derivable percentages to the D30 tool; otherwise human escalation or accept 'inconclusive' as the honest answer and stop scoring it as a swarm error. Neither lever A nor C touches this.,high,"Q18 FR: percentage_band (catalogue-derivable, DCAT-AP conformance). ODMI '>90%' self-report; D30 recompute ~32%. Not web-answerable; ODMI contested.",
Q20,FR,Quality,binary,inconclusive,yes,differ,accepted_by_verifier,2,evidence_absent_or_self_report,verifier_substring_gate_collapse,Out of reach for web search: gold answer is a country self-report / internal practice / catalogue computation. Route catalogue-derivable percentages to the D30 tool; otherwise human escalation or accept 'inconclusive' as the honest answer and stop scoring it as a swarm error. Neither lever A nor C touches this.,high,"Q20 FR: inconclusive rt2, 2/3 substring fail. ODMI self-report (HVD reporting, DCAT-AP care). Internal practice.",
Q23,FR,Quality,binary,inconclusive,yes,differ,accepted_by_verifier,1,verifier_substring_gate_collapse,fetch_blocked_403,"Fix the Verifier's verbatim substring gate: verify against actually-fetched page text, or allow semantic/normalised match, instead of rejecting quotes that cannot be re-matched on un-fetched or 403'd pages. NEITHER lever A nor C addresses this.",high,"Q23 FR: researcher rt0='yes' (metadata quality score) then inconclusive; 1/2 substring fail, 403. ODMI cites public post on data.gouv.fr metadata quality score.",evidence_absent_or_self_report
Q4,FR,Quality,binary,inconclusive,yes,differ,accepted_by_verifier,0,selection_or_interpretation_miss,,Coverage/commit fix: enforce a minimum-retry floor (many are rt0 give-ups) and improve source selection. Lever A (diverge queries on rejection) is partially relevant; C is not.,medium,Q4 FR: inconclusive rt0. ODMI: file-type options on data.gouv.fr publish flow (documentation/API/code repo) - a public portal feature. Not surfaced.,evidence_absent_or_self_report
Q6,FR,Quality,binary,inconclusive,yes,differ,accepted_by_verifier,1,evidence_absent_or_self_report,verifier_substring_gate_collapse,Out of reach for web search: gold answer is a country self-report / internal practice / catalogue computation. Route catalogue-derivable percentages to the D30 tool; otherwise human escalation or accept 'inconclusive' as the honest answer and stop scoring it as a swarm error. Neither lever A nor C touches this.,high,"Q6 FR: inconclusive rt1, 1/2 substring fail. ODMI self-report (HVD interoperability measures beyond DCAT-AP).",
